tax_id,address,city,zip,beds,baths,sqft,year_built,property_type,sale_date,sale_price,file,sub_address,search_by_address,geometry,lat,lng
6517244,62 Luisa DR,Breckenridge,80424,4,4,3114,2016,Sfr,9/25/17,2212000,2017,62 Luisa DR,62+Luisa+DR+Breckenridge+CO,"{'lat': 39.4885277, 'lng': -106.0453496}",39.4885277,-106.04534960000001
6517238,190 Fly Line DR,Silverthorne,80498,3,4,2335,2016,Townhouse,3/31/17,865000,2017,190 Fly Line DR,190+Fly+Line+DR+Silverthorne+CO,"{'lat': 39.6563048, 'lng': -106.0741549}",39.656304799999994,-106.07415490000001
6517237,192 Fly Line DR,Silverthorne,80498,3,3,1918,2016,Townhouse,3/17/17,709000,2017,192 Fly Line DR,192+Fly+Line+DR+Silverthorne+CO,"{'lat': 39.6593245, 'lng': -106.076124}",39.6593245,-106.076124
6517236,194 Fly Line DR,Silverthorne,80498,3,3,2095,2016,Townhouse,3/10/17,792000,2017,194 Fly Line DR,194+Fly+Line+DR+Silverthorne+CO,"{'lat': 39.6593172, 'lng': -106.0762422}",39.659317200000004,-106.0762422
6517234,216 Fly Line DR,Silverthorne,80498,3,3,1986,2017,Townhouse,6/30/17,715000,2017,216 Fly Line DR,216+Fly+Line+DR+Silverthorne+CO,"{'lat': 39.656558, 'lng': -106.0744327}",39.656558000000004,-106.0744327
6517233,218 Fly Line DR,Silverthorne,80498,3,3,2167,2017,Townhouse,6/22/17,779000,2017,218 Fly Line DR,218+Fly+Line+DR+Silverthorne+CO,"{'lat': 39.6592857, 'lng': -106.0764764}",39.659285700000005,-106.07647639999999
6517232,230 Fly Line DR,Silverthorne,80498,3,4,2239,2016,Townhouse,4/20/17,845000,2017,230 Fly Line DR,230+Fly+Line+DR+Silverthorne+CO,"{'lat': 39.6592857, 'lng': -106.0764764}",39.659285700000005,-106.07647639999999
6517231,232 Fly Line DR,Silverthorne,80498,3,3,1954,2016,Townhouse,5/26/17,699000,2017,232 Fly Line DR,232+Fly+Line+DR+Silverthorne+CO,"{'lat': 39.6592857, 'lng': -106.0764764}",39.659285700000005,-106.07647639999999
6517230,234 Fly Line DR,Silverthorne,80498,3,3,2074,2016,Townhouse,5/5/17,805000,2017,234 Fly Line DR,234+Fly+Line+DR+Silverthorne+CO,"{'lat': 39.6592857, 'lng': -106.0764764}",39.659285700000005,-106.07647639999999
6517205,55 Setting Sun TRL,Breckenridge,80424,4,5,8817,2017,Sfr,5/30/17,678000,2017,55 Setting Sun TRL,55+Setting+Sun+TRL+Breckenridge+CO,"{'lat': 39.4939286, 'lng': -106.027813}",39.493928600000004,-106.027813
6517183,850 Independence RD,Dillon,80435,3,4,2221,2016,Townhouse,7/7/17,879000,2017,850 Independence RD,850+Independence+RD+Keystone+CO,"{'lat': 39.6044885, 'lng': -105.930301}",39.6044885,-105.930301
6517182,852 Independence RD,Dillon,80435,3,3,2008,2016,Townhouse,6/9/17,739000,2017,852 Independence RD,852+Independence+RD+Keystone+CO,"{'lat': 39.6044885, 'lng': -105.930301}",39.6044885,-105.930301
6517181,854 Independence RD,Dillon,80435,3,4,2221,2016,Townhouse,11/15/17,899000,2017,854 Independence RD,854+Independence+RD+Keystone+CO,"{'lat': 39.6044885, 'lng': -105.930301}",39.6044885,-105.930301
6517180,862 Independence RD,Dillon,80435,3,3,2103,2016,Townhouse,3/17/17,809000,2017,862 Independence RD,862+Independence+RD+Keystone+CO,"{'lat': 39.6044885, 'lng': -105.930301}",39.6044885,-105.930301
6517179,864 Independence RD,Dillon,80435,3,3,2103,2016,Townhouse,1/10/17,785000,2017,864 Independence RD,864+Independence+RD+Keystone+CO,"{'lat': 39.6044885, 'lng': -105.930301}",39.6044885,-105.930301
6517169,48 Shores LN,Breckenridge,80424,3,4,2298,2017,Sfr,12/15/17,998000,2017,48 Shores LN,48+Shores+LN+Breckenridge+CO,"{'lat': 39.5342742, 'lng': -106.0452694}",39.534274200000006,-106.04526940000001
6517167,74 Shores LN,Breckenridge,80424,3,4,2357,2016,Sfr,6/8/17,995100,2017,74 Shores LN,74+Shores+LN+Breckenridge+CO,"{'lat': 39.5342742, 'lng': -106.0452694}",39.534274200000006,-106.04526940000001
6517166,116 Shores LN,Breckenridge,80424,3,4,2319,2016,Sfr,3/24/17,975000,2017,116 Shores LN,116+Shores+LN+Breckenridge+CO,"{'lat': 39.53418, 'lng': -106.0453067}",39.53418,-106.0453067
6517158,356 Bridge ST,Breckenridge,80424,3,2,1292,2016,Sfr,2/22/17,398064,2017,356 Bridge ST,356+Bridge+ST+Breckenridge+CO,"{'lat': 39.4829843, 'lng': -106.0277587}",39.4829843,-106.0277587
6517157,12 Lincoln,Breckenridge,80424,2,2,1024,2016,Sfr,3/6/17,334900,2017,12 Lincoln,12+Lincoln+Breckenridge+CO,"{'lat': 39.4825865, 'lng': -106.0411643}",39.4825865,-106.04116429999999
6517156,37 Sisler,Breckenridge,80424,3,2,1292,2016,Sfr,5/1/17,350900,2017,37 Sisler,37+Sisler+Breckenridge+CO,"{'lat': 39.4816537, 'lng': -106.0383518}",39.4816537,-106.03835179999999
6517155,31 Sisler,Breckenridge,80424,2,2,1006,2016,Sfr,5/19/17,354561,2017,31 Sisler,31+Sisler+Breckenridge+CO,"{'lat': 39.4816537, 'lng': -106.0383518}",39.4816537,-106.03835179999999
6517151,51 Regent DR,Breckenridge,80424,5,6,3479,2015,Sfr,5/5/17,2942000,2017,51 Regent DR,51+Regent+DR+Breckenridge+CO,"{'lat': 39.489078, 'lng': -106.05526}",39.489078000000006,-106.05526
6517107,207 Silver Queen DR,Breckenridge,80424,3,5,4851,2016,Sfr,10/16/17,1800000,2017,207 Silver Queen DR,207+Silver+Queen+DR+Breckenridge+CO,"{'lat': 39.4649873, 'lng': -106.0433963}",39.4649873,-106.0433963
6517038,21 Fair Fountain,Breckenridge,80424,3,2,1524,2017,Sfr,9/26/17,368415,2017,21 Fair Fountain,21+Fair+Fountain+Breckenridge+CO,"{'lat': 39.4829041, 'lng': -106.0280305}",39.482904100000006,-106.0280305
6517036,10 Ontario,Breckenridge,80424,3,2,1505,2017,Sfr,10/19/17,496573,2017,10 Ontario,10+Ontario+Breckenridge+CO,"{'lat': 39.4816537, 'lng': -106.0383518}",39.4816537,-106.03835179999999
6517035,16 Ontario,Breckenridge,80424,3,3,1561,2017,Sfr,10/27/17,492274,2017,16 Ontario,16+Ontario+Breckenridge+CO,"{'lat': 39.4816537, 'lng': -106.0383518}",39.4816537,-106.03835179999999
6517031,18 Ontario,Breckenridge,80424,3,3,1892,2017,Sfr,12/15/17,522621,2017,18 Ontario,18+Ontario+Breckenridge+CO,"{'lat': 39.4828973, 'lng': -106.0271548}",39.4828973,-106.02715479999999
6517029,11 Fair Fountain Green,Breckenridge,80424,4,3,2128,2017,Sfr,9/29/17,785952,2017,11 Fair Fountain,11+Fair+Fountain+Breckenridge+CO,"{'lat': 39.4826403, 'lng': -106.0280852}",39.4826403,-106.0280852
6517028,19 Fair Fountain Green,Breckenridge,80424,3,3,1540,2017,Sfr,7/28/17,486290,2017,19 Fair Fountain,19+Fair+Fountain+Breckenridge+CO,"{'lat': 39.4825615, 'lng': -106.0287051}",39.4825615,-106.0287051
6517014,98 Dewey Placer DR  Unit #F-2,Breckenridge,80424,3,3,2203,2016,Sfr,7/10/17,799100,2017,98 Dewey Placer DR,98+Dewey+Placer+DR+Breckenridge+CO,"{'lat': 39.5328569, 'lng': -106.0389435}",39.5328569,-106.0389435
6517013,96 Dewey Placer DR  Unit #F-1,Breckenridge,80424,3,3,2203,2016,Sfr,7/21/17,799000,2017,96 Dewey Placer DR,96+Dewey+Placer+DR+Breckenridge+CO,"{'lat': 39.5327977, 'lng': -106.0389156}",39.5327977,-106.0389156
6516938,31 Stillson,Breckenridge,80424,3,3,1221,2016,Sfr,7/31/17,296000,2017,31 Stillson,31+Stillson+Breckenridge+CO,"{'lat': 39.4816537, 'lng': -106.0383518}",39.4816537,-106.03835179999999
6516827,37 Spinner PL,Silverthorne,80498,3,3,2074,2011,Townhouse,8/31/17,685000,2017,37 Spinner PL,37+Spinner+PL+Silverthorne+CO,"{'lat': 39.653496, 'lng': -106.073702}",39.653496000000004,-106.073702
6516824,52 Spinner PL,Silverthorne,80498,3,3,2173,2011,Townhouse,10/5/17,790000,2017,52 Spinner PL,52+Spinner+PL+Silverthorne+CO,"{'lat': 39.65352499999999, 'lng': -106.073356}",39.65352499999999,-106.073356
6516819,54 Luisa DR,Breckenridge,80424,4,4,2577,2015,Sfr,4/21/17,1858500,2017,54 Luisa DR,54+Luisa+DR+Breckenridge+CO,"{'lat': 39.4873532, 'lng': -106.0453606}",39.4873532,-106.0453606
6516818,46 Luisa DR,Breckenridge,80424,3,3,2057,2015,Sfr,2/21/17,1558000,2017,46 Luisa DR,46+Luisa+DR+Breckenridge+CO,"{'lat': 39.4883271, 'lng': -106.0454194}",39.4883271,-106.04541940000001
6516798,814 Blue River PKWY,Silverthorne,80498,3,3,1726,2016,Townhouse,7/27/17,575000,2017,814 Blue River PKWY,814+Blue+River+PKWY+Silverthorne+CO,"{'lat': 39.6388735, 'lng': -106.0762971}",39.638873499999995,-106.07629709999999
6516792,830 Blue River PKWY  Unit #101,Silverthorne,80498,2,2,1169,2015,Condominium,1/23/17,495000,2017,830 Blue River PKWY,830+Blue+River+PKWY+Silverthorne+CO,"{'lat': 39.6390976, 'lng': -106.0752052}",39.6390976,-106.07520520000001
6516612,610 Columbine RD  Unit #6209,Breckenridge,80424,1,2,791,2014,Condominium,4/26/17,669000,2017,610 Columbine RD,610+Columbine+RD+Breckenridge+CO,"{'lat': 39.4753995, 'lng': -106.0454194}",39.4753995,-106.04541940000001
6516605,610 Columbine RD  Unit #6110,Breckenridge,80424,2,2,1058,2014,Condominium,8/1/17,905000,2017,610 Columbine RD,610+Columbine+RD+Breckenridge+CO,"{'lat': 39.4753995, 'lng': -106.0454194}",39.4753995,-106.04541940000001
6517037,15 Fair Fountain,Breckenridge,80424,4,4,2261,2017,Sfr,6/30/17,515970,2017,15 Fair Fountain,15+Fair+Fountain+Breckenridge+CO,"{'lat': 39.4829647, 'lng': -106.0279107}",39.482964700000004,-106.0279107
6517017,20 Lincoln,Breckenridge,80424,4,3,2128,2017,Sfr,9/19/17,862346,2017,20 Lincoln,20+Lincoln+Breckenridge+CO,"{'lat': 39.4825865, 'lng': -106.0411643}",39.4825865,-106.04116429999999
6517024,35 Fair Fountain,Breckenridge,80424,3,4,1913,2017,Sfr,6/9/17,528586,2017,35 Fair Fountain,35+Fair+Fountain+Breckenridge+CO,"{'lat': 39.482695, 'lng': -106.0283017}",39.482695,-106.0283017
6517025,29 Fair Fountain Green,Breckenridge,80424,3,2,1339,2016,Sfr,5/19/17,421984,2017,29 Fair Fountain,29+Fair+Fountain+Breckenridge+CO,"{'lat': 39.4825928, 'lng': -106.0293022}",39.4825928,-106.0293022
6517020,17 Sisler,Breckenridge,80424,3,2,1304,2016,Sfr,4/7/17,497239,2017,17 Sisler,17+Sisler+Breckenridge+CO,"{'lat': 39.4816537, 'lng': -106.0383518}",39.4816537,-106.03835179999999
6517019,11 Sisler,Breckenridge,80424,3,3,1540,2016,Sfr,3/21/17,473791,2017,11 Sisler,11+Sisler+Breckenridge+CO,"{'lat': 39.4816537, 'lng': -106.0383518}",39.4816537,-106.03835179999999
6516750,18 Lincoln,Breckenridge,80424,4,3,2419,2016,Sfr,2/23/17,775200,2017,18 Lincoln,18+Lincoln+Breckenridge+CO,"{'lat': 39.4825865, 'lng': -106.0411643}",39.4825865,-106.04116429999999
6517026,33 Fair Fountain,Breckenridge,80424,3,3,2133,2017,Sfr,10/11/17,527202,2017,33 Fair Fountain,33+Fair+Fountain+Breckenridge+CO,"{'lat': 39.4816537, 'lng': -106.0383518}",39.4816537,-106.03835179999999
6516516,25 Angler Mountain Ranch RD,Silverthorne,80498,5,5,4237,2017,Sfr,7/24/17,310000,2017,25 Angler Mountain Ranch RD,25+Angler+Mountain+Ranch+RD+Silverthorne+CO,"{'lat': 39.6540614, 'lng': -106.0737533}",39.6540614,-106.0737533
6516514,83 Angler Mountain Ranch RD,Silverthorne,80498,4,7,6187,2018,Sfr,2/17/17,315000,2017,83 Angler Mountain Ranch RD,83+Angler+Mountain+Ranch+RD+Silverthorne+CO,"{'lat': 39.6540614, 'lng': -106.0737533}",39.6540614,-106.0737533
6516456,381 Fly Line DR,Silverthorne,80498,3,3,2786,2015,Townhouse,9/18/17,875000,2017,381 Fly Line DR,381+Fly+Line+DR+Silverthorne+CO,"{'lat': 39.6589233, 'lng': -106.0748184}",39.6589233,-106.07481840000001
6516453,425 Fly Line DR,Silverthorne,80498,3,4,2884,2015,Townhouse,12/12/17,994000,2017,425 Fly Line DR,425+Fly+Line+DR+Silverthorne+CO,"{'lat': 39.6590814, 'lng': -106.0752711}",39.6590814,-106.0752711
6516323,148 Stonefly DR,Silverthorne,80498,4,4,3429,2014,Sfr,4/7/17,1085000,2017,148 Stonefly DR,148+Stonefly+DR+Silverthorne+CO,"{'lat': 39.6580628, 'lng': -106.0678291}",39.658062799999996,-106.0678291
6516297,156 S 4th AVE  Unit #2,Frisco,80443,2,2,1041,2014,Condominium,5/22/17,695000,2017,156 S 4th AVE,156+S+4th+AVE+Frisco+CO,"{'lat': 39.5752729, 'lng': -106.097224}",39.5752729,-106.097224
6516437,100 Frisco ST  Unit #B,Frisco,80443,4,5,3369,2014,Townhouse,4/5/17,1250000,2017,100 Frisco ST,100+Frisco+ST+Frisco+CO,"{'lat': 39.57195, 'lng': -106.1005}",39.57195,-106.1005
6516426,419 E Main ST  Unit #3,Frisco,80443,1,1,840,2003,Condominium,5/23/17,435000,2017,419 E Main ST,419+E+Main+ST+Frisco+CO,"{'lat': 39.5762413, 'lng': -106.0967511}",39.57624129999999,-106.09675109999999
6516424,552 Corkscrew DR,Breckenridge,80424,5,6,4586,2016,Sfr,11/6/17,1740000,2017,552 Corkscrew DR,552+Corkscrew+DR+Breckenridge+CO,"{'lat': 39.4900785, 'lng': -106.041808}",39.490078499999996,-106.041808
6516422,577 Corkscrew DR,Breckenridge,80424,4,5,3997,2016,Sfr,4/14/17,1349800,2017,577 Corkscrew DR,577+Corkscrew+DR+Breckenridge+CO,"{'lat': 39.49071929999999, 'lng': -106.0424431}",39.49071929999999,-106.04244309999999
6516421,585 Corkscrew DR,Breckenridge,80424,4,5,3992,2016,Sfr,3/10/17,1619150,2017,585 Corkscrew DR,585+Corkscrew+DR+Breckenridge+CO,"{'lat': 39.4911163, 'lng': -106.0425707}",39.491116299999995,-106.0425707
6516412,61 Luisa DR,Breckenridge,80424,3,4,3060,2015,Sfr,3/7/17,1275000,2017,61 Luisa DR,61+Luisa+DR+Breckenridge+CO,"{'lat': 39.4873532, 'lng': -106.0453606}",39.4873532,-106.0453606
901329,460 Tenderfoot ST  Unit #O,Dillon,80435,1,1,669,1985,Condominium,6/21/17,320000,2017,460 Tenderfoot ST,460+Tenderfoot+ST+Dillon+CO,"{'lat': 39.629796, 'lng': -106.039132}",39.629796,-106.03913200000001
901103,413 W La Bonte ST  Unit #301,Dillon,80435,3,3,1446,1978,Condominium,1/3/17,226667,2017,413 W La Bonte ST,413+W+La+Bonte+ST+Dillon+CO,"{'lat': 39.6269768, 'lng': -106.0529045}",39.6269768,-106.0529045
901230,188 E La Bonte ST  Unit #326,Dillon,80435,2,2,988,1981,Condominium,1/3/17,375000,2017,188 E La Bonte ST,188+E+La+Bonte+ST+Dillon+CO,"{'lat': 39.6272455, 'lng': -106.0437882}",39.6272455,-106.0437882
901232,188 E La Bonte ST  Unit #328,Dillon,80435,2,2,1072,1981,Condominium,11/20/17,560000,2017,188 E La Bonte ST,188+E+La+Bonte+ST+Dillon+CO,"{'lat': 39.6272455, 'lng': -106.0437882}",39.6272455,-106.0437882
901093,413 W La Bonte ST  Unit #107,Dillon,80435,2,2,1171,1978,Condominium,10/16/17,337500,2017,413 W La Bonte ST,413+W+La+Bonte+ST+Dillon+CO,"{'lat': 39.6269768, 'lng': -106.0529045}",39.6269768,-106.0529045
901149,210 E La Bonte ST  Unit #116,Dillon,80435,2,2,1007,1980,Condominium,10/24/17,432000,2017,210 E La Bonte ST,210+E+La+Bonte+ST+Dillon+CO,"{'lat': 39.62770709999999, 'lng': -106.0434004}",39.62770709999999,-106.0434004
901240,188 E La Bonte ST  Unit #337,Dillon,80435,2,3,1749,1981,Condominium,5/8/17,580000,2017,188 E La Bonte ST,188+E+La+Bonte+ST+Dillon+CO,"{'lat': 39.6272455, 'lng': -106.0437882}",39.6272455,-106.0437882
901087,413 W La Bonte ST  Unit #101,Dillon,80435,3,3,1634,1978,Condominium,11/1/17,771000,2017,413 W La Bonte ST,413+W+La+Bonte+ST+Dillon+CO,"{'lat': 39.6269768, 'lng': -106.0529045}",39.6269768,-106.0529045
901219,188 E La Bonte ST  Unit #314,Dillon,80435,2,2,988,1981,Condominium,7/14/17,425000,2017,188 E La Bonte ST,188+E+La+Bonte+ST+Dillon+CO,"{'lat': 39.6272455, 'lng': -106.0437882}",39.6272455,-106.0437882
901169,200 E La Bonte ST  Unit #212,Dillon,80435,2,2,1023,1980,Condominium,5/12/17,434000,2017,200 E La Bonte ST,200+E+La+Bonte+ST+Dillon+CO,"{'lat': 39.6275787, 'lng': -106.0433329}",39.6275787,-106.04333290000001
901130,370 E La Bonte ST  Unit #304,Dillon,80435,3,2,1068,1973,Condominium,1/23/17,335000,2017,370 E La Bonte ST,370+E+La+Bonte+ST+Dillon+CO,"{'lat': 39.6307567, 'lng': -106.0425724}",39.630756700000006,-106.04257240000001
901414,174 Ensign DR  Unit #B,Dillon,80435,3,4,2869,1994,Sfr,10/27/17,889000,2017,174 Ensign DR,174+Ensign+DR+Dillon+CO,"{'lat': 39.6218959, 'lng': -106.0268117}",39.6218959,-106.02681170000001
901418,214 Ensign DR  Unit #B,Dillon,80435,3,3,3480,1994,Sfr,10/27/17,883664,2017,214 Ensign DR,214+Ensign+DR+Dillon+CO,"{'lat': 39.6217788, 'lng': -106.0262856}",39.621778799999994,-106.0262856
901398,780 Little Beaver TRL,Silverthorne,80498,4,3,3072,1982,Sfr,12/14/17,150000,2017,780 Little Beaver TRL,780+Little+Beaver+TRL+Dillon+CO,"{'lat': 39.6302666, 'lng': -106.0603669}",39.630266600000006,-106.0603669
901362,350 E La Bonte ST  Unit #39,Dillon,80435,1,1,498,1968,Condominium,7/11/17,205000,2017,350 E La Bonte ST,350+E+La+Bonte+ST+Dillon+CO,"{'lat': 39.6305078, 'lng': -106.0426642}",39.6305078,-106.0426642
900762,240 E La Bonte ST  Unit #2,Dillon,80435,1,2,629,1971,Condominium,11/17/17,265000,2017,240 E La Bonte ST,240+E+La+Bonte+ST+Dillon+CO,"{'lat': 39.629281, 'lng': -106.0430049}",39.629281,-106.04300490000001
900788,622 Oro Grande ST,Dillon,80435,3,2,1800,1967,Sfr,1/14/17,350000,2017,622 Oro Grande ST,622+Oro+Grande+ST+Dillon+CO,"{'lat': 39.6274681, 'lng': -106.0354957}",39.6274681,-106.0354957
900244,414 Tenderfoot ST  Unit #4A,Dillon,80435,1,1,459,1965,Condominium,2/28/17,194000,2017,414 Tenderfoot ST,414+Tenderfoot+ST+Dillon+CO,"{'lat': 39.6303512, 'lng': -106.0391882}",39.63035120000001,-106.0391882
900583,311 W La Bonte ST  Unit #218,Dillon,80435,1,1,672,1972,Condominium,1/25/17,299000,2017,311 W La Bonte ST,311+W+La+Bonte+ST+Dillon+CO,"{'lat': 39.6274415, 'lng': -106.0510186}",39.627441499999996,-106.05101859999999
900345,176 E La Bonte ST  Unit #206,Dillon,80435,2,2,1020,1970,Condominium,12/15/17,349500,2017,176 E La Bonte ST,176+E+La+Bonte+ST+Dillon+CO,"{'lat': 39.6267613, 'lng': -106.0441337}",39.6267613,-106.0441337
901066,176 E La Bonte ST  Unit #104,Dillon,80435,3,3,1250,1970,Condominium,2/16/17,425000,2017,176 E La Bonte ST,176+E+La+Bonte+ST+Dillon+CO,"{'lat': 39.6267613, 'lng': -106.0441337}",39.6267613,-106.0441337
900279,311 W La Bonte ST  Unit #118,Dillon,80435,2,2,854,1972,Condominium,6/30/17,350000,2017,311 W La Bonte ST,311+W+La+Bonte+ST+Dillon+CO,"{'lat': 39.6274415, 'lng': -106.0510186}",39.627441499999996,-106.05101859999999
900968,112 E La Bonte ST  Unit #306,Dillon,80435,2,2,1017,1975,Condominium,3/10/17,429000,2017,112 E La Bonte ST,112+E+La+Bonte+ST+Dillon+CO,"{'lat': 39.6269202, 'lng': -106.0465408}",39.62692020000001,-106.0465408
900721,350 E La Bonte ST  Unit #50,Dillon,80435,3,2,996,1968,Condominium,7/15/17,340000,2017,350 E La Bonte ST,350+E+La+Bonte+ST+Dillon+CO,"{'lat': 39.6305078, 'lng': -106.0426642}",39.6305078,-106.0426642
900660,330 E La Bonte ST  Unit #4,Dillon,80435,1,1,498,1968,Condominium,7/18/17,245000,2017,330 E La Bonte ST,330+E+La+Bonte+ST+Dillon+CO,"{'lat': 39.63007109999999, 'lng': -106.0429254}",39.63007109999999,-106.0429254
900821,240 E La Bonte ST  Unit #7,Dillon,80435,2,2,784,1971,Condominium,4/21/17,340000,2017,240 E La Bonte ST,240+E+La+Bonte+ST+Dillon+CO,"{'lat': 39.629281, 'lng': -106.0430049}",39.629281,-106.04300490000001
900350,414 Tenderfoot ST  Unit #8A,Dillon,80435,1,1,459,1965,Condominium,6/30/17,229000,2017,414 Tenderfoot ST,414+Tenderfoot+ST+Dillon+CO,"{'lat': 39.6303512, 'lng': -106.0391882}",39.63035120000001,-106.0391882
900914,410 Tenderfoot ST  Unit #46,Dillon,80435,3,2,996,1967,Condominium,8/1/17,310000,2017,410 Tenderfoot ST,410+Tenderfoot+ST+Dillon+CO,"{'lat': 39.6306611, 'lng': -106.0393748}",39.630661100000005,-106.03937479999999
900868,220 E La Bonte ST  Unit #207,Dillon,80435,2,2,790,1971,Condominium,9/25/17,396000,2017,220 E La Bonte ST,220+E+La+Bonte+ST+Dillon+CO,"{'lat': 39.6281121, 'lng': -106.0429767}",39.6281121,-106.0429767
900832,175 Tenderfoot ST,Dillon,80435,4,3,2544,1948,Sfr,4/7/17,950100,2017,175 Tenderfoot ST,175+Tenderfoot+ST+Dillon+CO,"{'lat': 39.6328105, 'lng': -106.0434746}",39.6328105,-106.04347460000001
900487,606 Tenderfoot ST  Unit #51,Dillon,80435,2,2,1054,1970,Condominium,8/10/17,660000,2017,606 Tenderfoot ST,606+Tenderfoot+ST+Dillon+CO,"{'lat': 39.6283, 'lng': -106.037667}",39.6283,-106.037667
900429,410 Tenderfoot ST  Unit #41,Dillon,80435,1,1,498,1967,Condominium,4/27/17,205000,2017,410 Tenderfoot ST,410+Tenderfoot+ST+Dillon+CO,"{'lat': 39.6306611, 'lng': -106.0393748}",39.630661100000005,-106.03937479999999
801327,833 Straight Creek DR  Unit #104,Dillon,80435,2,2,762,1974,Condominium,10/23/17,259000,2017,833 Straight Creek DR,833+Straight+Creek+DR+Dillon+CO,"{'lat': 39.64098480000001, 'lng': -106.0395169}",39.64098480000001,-106.0395169
